train_count,test_count,category,model,mae,rmse,r2
8000,2000,方程基线,Equation-only Mixed-B form without Ocean-TP constraints,0.055348070744284515,0.10756359032716634,0.9846901954210594
8000,2000,经典回归,Linear Regression,0.29625297557491637,0.3701731372018661,0.8186786823110925
8000,2000,经典回归,Polynomial Regression (deg=5),0.07096566645059306,0.13193776839395277,0.9769655771248246
8000,2000,经典回归,SVR (RBF),0.05869561624455508,0.11421549492365891,0.9827380792146547
8000,2000,经典回归,Random Forest,0.06250137998536764,0.12157910301141282,0.9804405365517359
8000,2000,经典回归,"Spline Regression (B-spline, 10 knots)",0.05726990049851588,0.111100308340154,0.9836668633413426
8000,2000,经典回归,Nystroem RBF + Ridge (Kriging approx),0.05683529459589175,0.11076914929441406,0.9837640872801376
8000,2000,经典回归,Nystroem RBF(1024) + Ridge,0.05683529451168708,0.1107691492812399,0.9837640872839996
8000,2000,经典回归,"KNN (k=25, distance)",0.06506907183384626,0.12889542549034005,0.9780156273891236
8000,2000,经典回归,Decision Tree (max_depth=18),0.06405904970280889,0.12527378256140262,0.9792336844466013
8000,2000,经典回归,ExtraTrees,0.065122429424489,0.12891011754637355,0.9780106153564428
8000,2000,经典回归,ElasticNet,0.2963393118197812,0.3701492074431813,0.818702124504459
8000,2000,经典回归,KernelRidge (RBF),0.05687763687685035,0.11093121074583141,0.9837165444326046
8000,2000,经典回归,HistGradientBoosting,0.056612553975845394,0.10873068443431884,0.9843561619645973
8000,2000,经典回归,GradientBoosting,0.05687744167331711,0.10998548094753068,0.9839930059397665
8000,2000,经典回归,AdaBoost (Tree base),0.0584324835076929,0.11421735658298594,0.9827375164875439
8000,2000,经典回归,Bagging (Tree base),0.06007547725033119,0.11593052820037193,0.9822157851468936
8000,2000,经典回归,BayesianRidge,0.29625521538157457,0.3701724884461776,0.818679317868465
8000,2000,经典回归,HuberRegressor,0.27281943346636245,0.402389014501129,0.7857448357511223
8000,2000,经典回归,Lasso,0.29635769480301066,0.3701444171868629,0.8187068169779619
8000,2000,经典回归,LinearSVR,0.26772264943021745,0.43353840648747904,0.7512894423501222
8000,2000,经典回归,NuSVR (RBF),0.05716882364326327,0.1143394202177232,0.9827006000769148
8000,2000,经典回归,"SVR (poly, deg=3)",0.6108432438785689,0.7410819364817705,0.27327262037611755
8000,2000,经典回归,SGDRegressor,0.29823451379546456,0.3700133942746843,0.8188351417916192
8000,2000,经典回归,PassiveAggressiveRegressor,1.0688384892653453,1.1563864364717755,-0.7694775031951788
8000,2000,经典回归,RANSACRegressor,0.29133530285003617,0.5286561315306232,0.630184070037648
8000,2000,经典回归,TheilSenRegressor,0.28329534672069456,0.48744057446648015,0.6856000841014462
8000,2000,经典回归,RadiusNeighbors (radius=1.0),0.25219264916478973,0.3423532036309679,0.8449085487993395
8000,2000,经典回归,"KernelRidge (poly, deg=3)",0.05978189128562318,0.11809621704584208,0.9815451279033235
8000,2000,经典回归,"GaussianProcess (RBF, subsample=2k)",0.055682060628609475,0.10814733825673634,0.9845235717997787
8000,2000,经典回归,"GaussianProcess (Matern ν=1.5, subsample=2k)",0.05541627977816031,0.10814328092533709,0.9845247330270674
8000,2000,经典回归,"GaussianProcess (RationalQuadratic, subsample=2k)",0.055538522940660764,0.10804603323755237,0.9845525527355741
8000,2000,经典回归,VotingRegressor (LR+RF+SVR),0.11628158227439697,0.16436979203650706,0.9642494210967777
8000,2000,经典回归,StackingRegressor (RF+SVR -> Ridge),0.05806773199690929,0.11262840796345236,0.9832144738930333
8000,2000,经典回归,VotingRegressor (SVR+HGB+KernelRidge),0.0564840703091863,0.1097343667364837,0.9840660154857196
8000,2000,经典回归,StackingRegressor (SVR+HGB+KernelRidge→Ridge),0.05623440835490338,0.10841556822428172,0.9844467064804417
8000,2000,经典回归,Polynomial Regression (deg=2),0.08221120472156028,0.13376146903459418,0.976324392756583
8000,2000,经典回归,Polynomial Regression (deg=3),0.05978168143791041,0.11809624212591172,0.9815451200648078
8000,2000,经典回归,Polynomial Regression (deg=4),0.059382349998750555,0.11802901636383623,0.9815661248017912
8000,2000,经典回归,Polynomial Regression (deg=6),0.13487244905328208,0.19622950972185052,0.949047241047253
8000,2000,经典回归,Polynomial Regression (deg=7),0.2148369848550736,0.2874900553778805,0.890633397629821
8000,2000,经典回归,Polynomial Regression (deg=8),0.29137715222132066,0.3740817018798901,0.8148294153035671
8000,2000,经典回归,Polynomial Regression (deg=9),0.36236392502625797,0.45100464828825104,0.7308458358819652
8000,2000,经典回归,Polynomial Regression (deg=10),0.4274735649745469,0.5202512763705187,0.6418496531883611
8000,2000,经典回归,Polynomial Regression (deg=11),0.48948779372159246,0.5811697057834692,0.5530643441332584
8000,2000,经典回归,Polynomial Regression (deg=12),0.5370340109200785,0.6310967830198696,0.4729752631565711
8000,2000,经典回归,"SVR (RBF,C=0.5,gamma=scale,eps=0.01)",0.057660018330117566,0.12166005793473164,0.9804144800667142
8000,2000,经典回归,"SVR (RBF,C=0.5,gamma=scale,eps=0.05)",0.05922262550581637,0.12080519665482288,0.980688753805469
8000,2000,经典回归,"SVR (RBF,C=0.5,gamma=0.001,eps=0.01)",0.2618350386812372,0.3993014854139406,0.7890201793196876
8000,2000,经典回归,"SVR (RBF,C=0.5,gamma=0.001,eps=0.05)",0.26356105575305705,0.3907139219140175,0.7979974555778814
8000,2000,经典回归,"SVR (RBF,C=0.5,gamma=0.005,eps=0.01)",0.1018378795601509,0.1741098182081636,0.9598869586307949
8000,2000,经典回归,"SVR (RBF,C=0.5,gamma=0.005,eps=0.05)",0.10943752635411812,0.17833987654610509,0.9579141608851831
8000,2000,经典回归,"SVR (RBF,C=0.5,gamma=0.01,eps=0.01)",0.08467463659923145,0.14934419502560659,0.9704868367585177
8000,2000,经典回归,"SVR (RBF,C=0.5,gamma=0.01,eps=0.05)",0.08547192943961472,0.14647675361812412,0.9716092752337738
