year,mae,rmse,r2,lower_whisker,q1,median,mean_marker_for_boxplot,q3,upper_whisker
2015,0.0685,0.1268,0.9766,-0.3494,-0.1412,0.0669,0.0685,0.2408,0.4003
2016,0.0582,0.1174,0.9812,-0.3006,-0.1214,0.0567,0.0582,0.2196,0.3507
2017,0.0476,0.1096,0.9854,-0.2502,-0.1007,0.0491,0.0476,0.2005,0.3001
2018,0.0284,0.1012,0.9916,-0.2004,-0.0792,0.0312,0.0284,0.1698,0.2495
2019,0.0567,0.1161,0.9827,-0.2997,-0.1205,0.0554,0.0567,0.2209,0.3502
2020,0.0478,0.1089,0.9861,-0.2508,-0.1011,0.0484,0.0478,0.2002,0.3004
2021,0.0699,0.1285,0.9758,-0.3491,-0.1406,0.0711,0.0699,0.2397,0.3998
2022,0.0475,0.1082,0.9868,-0.2496,-0.1003,0.0492,0.0475,0.2007,0.3000
2023,0.0576,0.1158,0.9824,-0.3003,-0.1208,0.0568,0.0576,0.2201,0.3505
2024,0.0285,0.0864,0.9921,-0.1998,-0.0797,0.0293,0.0285,0.1703,0.2502

mean_2015_2024,0.05107,0.11189,0.98407,,,,,,
mix8b_anchor,0.05107,0.11189,0.98407,,,,,,
