date,year,month,quarter,segment,sample_count,depth_bins_1m,effective_spacing_m,mae,rmse,r2,stable_day,stability_threshold,data_status
2023-01-01,2023,1,Q1,full_year_stable,10959,3606,1.0724,0.045,0.0773,0.9954,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-02,2023,1,Q1,full_year_stable,10812,3560,1.0862,0.0433,0.0917,0.9927,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-03,2023,1,Q1,full_year_stable,10549,3647,1.0603,0.0387,0.0919,0.9951,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-04,2023,1,Q1,full_year_stable,11109,3650,1.0595,0.0392,0.0793,0.9937,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-05,2023,1,Q1,full_year_stable,10241,3740,1.034,0.0327,0.074,0.9939,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-06,2023,1,Q1,full_year_stable,10556,3660,1.0566,0.0339,0.0792,0.9926,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-07,2023,1,Q1,full_year_stable,11781,3644,1.0612,0.0312,0.0656,0.9937,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-08,2023,1,Q1,full_year_stable,11174,3613,1.0703,0.0346,0.0807,0.9934,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-09,2023,1,Q1,full_year_stable,11349,3566,1.0844,0.0351,0.0689,0.9932,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-10,2023,1,Q1,full_year_stable,10696,3698,1.0457,0.0339,0.0713,0.9973,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-11,2023,1,Q1,full_year_stable,11471,3631,1.065,0.0352,0.0847,0.9945,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-12,2023,1,Q1,full_year_stable,10619,3678,1.0514,0.0356,0.0845,0.992,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-13,2023,1,Q1,full_year_stable,10386,3659,1.0568,0.0379,0.0792,0.9952,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-14,2023,1,Q1,full_year_stable,11144,3681,1.0505,0.0396,0.0813,0.9938,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-15,2023,1,Q1,full_year_stable,11371,3670,1.0537,0.0426,0.0712,0.9948,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-16,2023,1,Q1,full_year_stable,11370,3555,1.0878,0.0412,0.0791,0.9949,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-17,2023,1,Q1,full_year_stable,11051,3646,1.0606,0.0367,0.0797,0.9933,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-18,2023,1,Q1,full_year_stable,10335,3655,1.058,0.0408,0.0691,0.9941,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-19,2023,1,Q1,full_year_stable,10157,3629,1.0656,0.0396,0.0798,0.9936,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-20,2023,1,Q1,full_year_stable,11248,3592,1.0766,0.0369,0.0715,0.9945,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-21,2023,1,Q1,full_year_stable,11029,3654,1.0583,0.0362,0.0852,0.9953,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-22,2023,1,Q1,full_year_stable,11254,3637,1.0632,0.0366,0.0727,0.9936,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-23,2023,1,Q1,full_year_stable,11924,3584,1.079,0.0377,0.0765,0.9955,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-24,2023,1,Q1,full_year_stable,11308,3618,1.0688,0.0433,0.0849,0.9934,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-25,2023,1,Q1,full_year_stable,10650,3621,1.0679,0.0484,0.0856,0.9929,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-26,2023,1,Q1,full_year_stable,11087,3647,1.0603,0.0522,0.0945,0.9944,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-27,2023,1,Q1,full_year_stable,11094,3651,1.0592,0.0425,0.0767,0.9944,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-28,2023,1,Q1,full_year_stable,11715,3676,1.052,0.0466,0.0873,0.9933,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-29,2023,1,Q1,full_year_stable,10833,3655,1.058,0.0543,0.0986,0.994,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-30,2023,1,Q1,full_year_stable,11435,3605,1.0727,0.053,0.0767,0.9937,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-01-31,2023,1,Q1,full_year_stable,10624,3631,1.065,0.0565,0.0949,0.9927,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-01,2023,2,Q1,full_year_stable,11052,3615,1.0697,0.0388,0.0773,0.9949,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-02,2023,2,Q1,full_year_stable,11041,3739,1.0342,0.0348,0.0829,0.9953,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-03,2023,2,Q1,full_year_stable,11008,3662,1.056,0.0456,0.0835,0.9953,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
