date,year,doy,mae,rmse,mae_roll7,rmse_roll7,stable_day,data_status
2023-01-01,2023,1,0.045,0.0773,0.04155,0.08505,True,fixed_equation_evaluation_record
2023-01-02,2023,2,0.0433,0.0917,0.039779999999999996,0.08284,True,fixed_equation_evaluation_record
2023-01-03,2023,3,0.0387,0.0919,0.0388,0.08223333333333334,True,fixed_equation_evaluation_record
2023-01-04,2023,4,0.0392,0.0793,0.037714285714285714,0.07985714285714285,True,fixed_equation_evaluation_record
2023-01-05,2023,5,0.0327,0.074,0.03622857142857143,0.08034285714285715,True,fixed_equation_evaluation_record
2023-01-06,2023,6,0.0339,0.0792,0.035057142857142856,0.07708571428571429,True,fixed_equation_evaluation_record
2023-01-07,2023,7,0.0312,0.0656,0.03437142857142857,0.07414285714285715,True,fixed_equation_evaluation_record
2023-01-08,2023,8,0.0346,0.0807,0.033800000000000004,0.07491428571428571,True,fixed_equation_evaluation_record
2023-01-09,2023,9,0.0351,0.0689,0.03421428571428571,0.07641428571428573,True,fixed_equation_evaluation_record
2023-01-10,2023,10,0.0339,0.0713,0.03478571428571429,0.07641428571428573,True,fixed_equation_evaluation_record
2023-01-11,2023,11,0.0352,0.0847,0.03598571428571429,0.07865714285714286,True,fixed_equation_evaluation_record
2023-01-12,2023,12,0.0356,0.0845,0.037128571428571434,0.07730000000000001,True,fixed_equation_evaluation_record
2023-01-13,2023,13,0.0379,0.0792,0.038,0.07875714285714286,True,fixed_equation_evaluation_record
2023-01-14,2023,14,0.0396,0.0813,0.038400000000000004,0.07995714285714285,True,fixed_equation_evaluation_record
2023-01-15,2023,15,0.0426,0.0712,0.039200000000000006,0.07772857142857144,True,fixed_equation_evaluation_record
2023-01-16,2023,16,0.0412,0.0791,0.039771428571428576,0.07705714285714285,True,fixed_equation_evaluation_record
2023-01-17,2023,17,0.0367,0.0797,0.03962857142857142,0.07595714285714285,True,fixed_equation_evaluation_record
2023-01-18,2023,18,0.0408,0.0691,0.039142857142857146,0.07651428571428572,True,fixed_equation_evaluation_record
2023-01-19,2023,19,0.0396,0.0798,0.03828571428571429,0.07672857142857141,True,fixed_equation_evaluation_record
2023-01-20,2023,20,0.0369,0.0715,0.03778571428571429,0.07635714285714286,True,fixed_equation_evaluation_record
2023-01-21,2023,21,0.0362,0.0852,0.03872857142857143,0.07709999999999999,True,fixed_equation_evaluation_record
2023-01-22,2023,22,0.0366,0.0727,0.03981428571428571,0.07945714285714287,True,fixed_equation_evaluation_record
2023-01-23,2023,23,0.0377,0.0765,0.041614285714285715,0.08155714285714286,True,fixed_equation_evaluation_record
2023-01-24,2023,24,0.0433,0.0849,0.04241428571428572,0.0823,True,fixed_equation_evaluation_record
2023-01-25,2023,25,0.0484,0.0856,0.0439,0.0826,True,fixed_equation_evaluation_record
2023-01-26,2023,26,0.0522,0.0945,0.04642857142857143,0.0863,True,fixed_equation_evaluation_record
2023-01-27,2023,27,0.0425,0.0767,0.04861428571428572,0.08632857142857142,True,fixed_equation_evaluation_record
2023-01-28,2023,28,0.0466,0.0873,0.0505,0.08775714285714287,True,fixed_equation_evaluation_record
2023-01-29,2023,29,0.0543,0.0986,0.04912857142857143,0.08657142857142856,True,fixed_equation_evaluation_record
2023-01-30,2023,30,0.053,0.0767,0.046642857142857146,0.0849142857142857,True,fixed_equation_evaluation_record
2023-01-31,2023,31,0.0565,0.0949,0.047085714285714286,0.08588571428571427,True,fixed_equation_evaluation_record
2023-02-01,2023,32,0.0388,0.0773,0.04631428571428571,0.08655714285714287,True,fixed_equation_evaluation_record
2023-02-02,2023,33,0.0348,0.0829,0.04352857142857143,0.0848,True,fixed_equation_evaluation_record
2023-02-03,2023,34,0.0456,0.0835,0.040257142857142866,0.08235714285714286,True,fixed_equation_evaluation_record
2023-02-04,2023,35,0.0412,0.092,0.037385714285714286,0.08061428571428572,True,fixed_equation_evaluation_record
2023-02-05,2023,36,0.0348,0.0863,0.0381,0.08134285714285715,True,fixed_equation_evaluation_record
2023-02-06,2023,37,0.0301,0.0596,0.03935714285714286,0.08092857142857143,True,fixed_equation_evaluation_record
2023-02-07,2023,38,0.0364,0.0827,0.03958571428571429,0.08277142857142857,True,fixed_equation_evaluation_record
2023-02-08,2023,39,0.0438,0.0824,0.041057142857142855,0.08238571428571428,True,fixed_equation_evaluation_record
2023-02-09,2023,40,0.0436,0.08,0.044457142857142855,0.08374285714285715,True,fixed_equation_evaluation_record
2023-02-10,2023,41,0.0472,0.0964,0.04752857142857143,0.08855714285714286,True,fixed_equation_evaluation_record
2023-02-11,2023,42,0.0515,0.0893,0.049371428571428566,0.08958571428571428,True,fixed_equation_evaluation_record
2023-02-12,2023,43,0.0586,0.0958,0.05051428571428571,0.09055714285714286,True,fixed_equation_evaluation_record
2023-02-13,2023,44,0.0516,0.0933,0.05104285714285715,0.09068571428571429,True,fixed_equation_evaluation_record
2023-02-14,2023,45,0.0493,0.0899,0.050042857142857146,0.08807142857142858,True,fixed_equation_evaluation_record
2023-02-15,2023,46,0.0518,0.0892,0.04902857142857143,0.08714285714285715,True,fixed_equation_evaluation_record
2023-02-16,2023,47,0.0473,0.0809,0.04707142857142858,0.0873,True,fixed_equation_evaluation_record
2023-02-17,2023,48,0.0402,0.0781,0.04635714285714286,0.08795714285714286,True,fixed_equation_evaluation_record
2023-02-18,2023,49,0.0444,0.0828,0.04560000000000001,0.08644285714285714,True,fixed_equation_evaluation_record
2023-02-19,2023,50,0.0449,0.0969,0.04472857142857143,0.08567142857142858,True,fixed_equation_evaluation_record
2023-02-20,2023,51,0.0466,0.0979,0.04478571428571428,0.0853,True,fixed_equation_evaluation_record
2023-02-21,2023,52,0.044,0.0793,0.04492857142857143,0.08562857142857142,True,fixed_equation_evaluation_record
2023-02-22,2023,53,0.0457,0.0838,0.043628571428571426,0.08572857142857142,True,fixed_equation_evaluation_record
2023-02-23,2023,54,0.0477,0.0783,0.04177142857142857,0.08097142857142857,True,fixed_equation_evaluation_record
2023-02-24,2023,55,0.0412,0.0804,0.04078571428571428,0.07935714285714286,True,fixed_equation_evaluation_record
2023-02-25,2023,56,0.0353,0.0835,0.04065714285714286,0.07834285714285714,True,fixed_equation_evaluation_record
2023-02-26,2023,57,0.0319,0.0636,0.04045714285714286,0.07808571428571429,True,fixed_equation_evaluation_record
2023-02-27,2023,58,0.0397,0.0866,0.04057142857142857,0.07964285714285714,True,fixed_equation_evaluation_record
2023-02-28,2023,59,0.0431,0.0722,0.041999999999999996,0.08102857142857144,True,fixed_equation_evaluation_record
2023-03-01,2023,60,0.0443,0.082,0.04328571428571428,0.08228571428571428,True,fixed_equation_evaluation_record
2023-03-02,2023,61,0.0485,0.0892,0.04410000000000001,0.0831857142857143,True,fixed_equation_evaluation_record
2023-03-03,2023,62,0.0512,0.0901,0.04448571428571429,0.08187142857142857,True,fixed_equation_evaluation_record
2023-03-04,2023,63,0.0443,0.0923,0.04467142857142857,0.08478571428571427,True,fixed_equation_evaluation_record
2023-03-05,2023,64,0.0376,0.0699,0.044599999999999994,0.08488571428571427,True,fixed_equation_evaluation_record
2023-03-06,2023,65,0.0424,0.0774,0.04381428571428571,0.08342857142857144,True,fixed_equation_evaluation_record
2023-03-07,2023,66,0.0444,0.0926,0.04301428571428572,0.08397142857142857,True,fixed_equation_evaluation_record
2023-03-08,2023,67,0.0438,0.0827,0.04328571428571428,0.08348571428571429,True,fixed_equation_evaluation_record
2023-03-09,2023,68,0.043,0.079,0.04471428571428571,0.0873,True,fixed_equation_evaluation_record
2023-03-10,2023,69,0.0456,0.0939,0.045514285714285715,0.09060000000000001,True,fixed_equation_evaluation_record
2023-03-11,2023,70,0.0462,0.0889,0.0474,0.08952857142857143,True,fixed_equation_evaluation_record
2023-03-12,2023,71,0.0476,0.0966,0.04858571428571429,0.09042857142857143,True,fixed_equation_evaluation_record
2023-03-13,2023,72,0.048,0.1005,0.049742857142857144,0.0925,True,fixed_equation_evaluation_record
2023-03-14,2023,73,0.0576,0.0851,0.05041428571428571,0.0919,True,fixed_equation_evaluation_record
2023-03-15,2023,74,0.0521,0.089,0.050742857142857145,0.09345714285714286,True,fixed_equation_evaluation_record
2023-03-16,2023,75,0.0511,0.0935,0.049928571428571426,0.09064285714285714,True,fixed_equation_evaluation_record
2023-03-17,2023,76,0.0503,0.0897,0.04927142857142857,0.08801428571428571,True,fixed_equation_evaluation_record
2023-03-18,2023,77,0.0485,0.0998,0.04672857142857143,0.08668571428571428,True,fixed_equation_evaluation_record
2023-03-19,2023,78,0.0419,0.0769,0.04494285714285714,0.08635714285714287,True,fixed_equation_evaluation_record
2023-03-20,2023,79,0.0434,0.0821,0.04365714285714285,0.08434285714285715,True,fixed_equation_evaluation_record
2023-03-21,2023,80,0.0398,0.0758,0.04304285714285715,0.08534285714285715,True,fixed_equation_evaluation_record
2023-03-22,2023,81,0.0396,0.0867,0.04232857142857143,0.08291428571428572,True,fixed_equation_evaluation_record
2023-03-23,2023,82,0.0421,0.0794,0.04327142857142857,0.08642857142857142,True,fixed_equation_evaluation_record
2023-03-24,2023,83,0.046,0.0967,0.04454285714285715,0.0871,True,fixed_equation_evaluation_record
