level,period,days,sample_count,mean_sample_count,mean_depth_bins_1m,mean_effective_spacing_m,weighted_mae,weighted_rmse_rms,day_mean_mae,day_rms_rmse,mean_r2,min_mae,max_mae,stable_days,stable_ratio
year,2023,365,4083163,11186.747945,3635.750685,1.063910,0.049001,0.091616,0.048901,0.091505,0.993471,0.029200,0.070700,365,1.000000
year,2024,366,4163923,11376.838798,3622.680328,1.067834,0.047330,0.088721,0.047324,0.088664,0.993702,0.029600,0.068000,366,1.000000
quarter,2023-Q1,90,1014261,11269.566667,3665.855556,1.055048,0.043390,0.084329,0.043369,0.084342,0.993976,0.030100,0.058600,90,1.000000
quarter,2023-Q2,91,1067750,11733.516484,3688.813187,1.048381,0.052655,0.095618,0.052657,0.095605,0.993192,0.040800,0.070700,91,1.000000
quarter,2023-Q3,92,1024319,11133.902174,3605.826087,1.072628,0.054728,0.099033,0.054693,0.099005,0.992876,0.038800,0.068400,92,1.000000
quarter,2023-Q4,92,976833,10617.750000,3583.739130,1.079223,0.044826,0.086158,0.044803,0.086128,0.993848,0.029200,0.059000,92,1.000000
quarter,2024-Q1,91,1025644,11270.813187,3653.087912,1.058689,0.042038,0.078931,0.042026,0.078881,0.994280,0.030100,0.056900,91,1.000000
quarter,2024-Q2,91,1064705,11700.054945,3632.934066,1.064636,0.048210,0.090462,0.048195,0.090398,0.993681,0.039100,0.058000,91,1.000000
quarter,2024-Q3,92,1040888,11314.000000,3536.119565,1.093738,0.052959,0.097610,0.053026,0.097664,0.992926,0.038500,0.065600,92,1.000000
quarter,2024-Q4,92,1032686,11224.847826,3669.021739,1.054138,0.046004,0.086665,0.046001,0.086592,0.993925,0.029600,0.068000,92,1.000000
segment,2023_full_year_stable,365,4083163,11186.747945,3635.750685,1.063910,0.049001,0.091616,0.048901,0.091505,0.993471,0.029200,0.070700,365,1.000000
segment,2024_H1_stable,182,2090349,11485.434066,3643.010989,1.061663,0.045182,0.085000,0.045110,0.084835,0.993981,0.030100,0.058000,182,1.000000
segment,2024_Jul_Oct_low_error,123,1388422,11287.983740,3562.707317,1.085761,0.052470,0.096840,0.052510,0.096861,0.992983,0.032500,0.068000,123,1.000000
segment,2024_Nov_Dec_stable,61,685152,11232.000000,3682.950820,1.050098,0.043467,0.082408,0.043472,0.082319,0.994318,0.029600,0.050200,61,1.000000
month,2023-01,31,341331,11010.677419,3637.387097,1.063258,0.040675,0.080783,0.040677,0.080847,0.994029,0.031200,0.056500,31,1.000000
month,2023-02,28,313223,11186.535714,3666.785714,1.054793,0.043155,0.084122,0.043254,0.084222,0.994000,0.030100,0.058600,28,1.000000
month,2023-03,31,359707,11603.451613,3693.483871,1.047068,0.046172,0.087734,0.046165,0.087802,0.993900,0.037600,0.057600,31,1.000000
month,2023-04,30,351343,11711.433333,3699.800000,1.045257,0.049648,0.092237,0.049670,0.092236,0.993517,0.040800,0.056400,30,1.000000
month,2023-05,31,365410,11787.419355,3691.387097,1.047642,0.052660,0.096119,0.052639,0.096086,0.992958,0.044300,0.070700,31,1.000000
month,2023-06,30,350997,11699.900000,3675.166667,1.052270,0.055659,0.098380,0.055663,0.098376,0.993110,0.045100,0.067000,30,1.000000
month,2023-07,31,353546,11404.709677,3640.806452,1.062271,0.056661,0.100684,0.056655,0.100676,0.992581,0.046600,0.068000,31,1.000000
month,2023-08,31,343963,11095.580645,3603.548387,1.073255,0.055171,0.101114,0.055165,0.101158,0.992890,0.041300,0.068400,31,1.000000
month,2023-09,30,326810,10893.666667,3572.033333,1.082683,0.052169,0.094933,0.052180,0.094932,0.993167,0.038800,0.062900,30,1.000000
month,2023-10,31,330004,10645.290323,3566.967742,1.084248,0.048158,0.089689,0.048171,0.089706,0.993700,0.036300,0.059000,31,1.000000
month,2023-11,30,316918,10563.933333,3568.766667,1.083713,0.044656,0.085580,0.044600,0.085519,0.993913,0.032500,0.055100,30,1.000000
month,2023-12,31,329911,10642.290323,3615.000000,1.069852,0.041657,0.083051,0.041632,0.083007,0.993932,0.029200,0.050600,31,1.000000
month,2024-01,31,341403,11013.000000,3647.387097,1.060310,0.039999,0.075295,0.040032,0.075286,0.994429,0.030100,0.049300,31,1.000000
month,2024-02,29,326131,11245.896552,3665.034483,1.055286,0.041806,0.078579,0.041766,0.078533,0.994134,0.033300,0.052600,29,1.000000
month,2024-03,31,358110,11551.935484,3647.612903,1.060252,0.044193,0.082553,0.044265,0.082628,0.994268,0.035600,0.056900,31,1.000000
month,2024-04,30,349804,11660.133333,3658.633333,1.057137,0.045998,0.086388,0.045993,0.086250,0.994130,0.039900,0.054700,30,1.000000
month,2024-05,31,365943,11804.612903,3640.516129,1.062361,0.048801,0.091513,0.048771,0.091496,0.993423,0.039500,0.055900,31,1.000000
month,2024-06,30,348958,11631.933333,3599.400000,1.074487,0.049808,0.093300,0.049800,0.093264,0.993500,0.039100,0.058000,30,1.000000
month,2024-07,31,369818,11929.612903,3539.516129,1.092710,0.051997,0.096368,0.051994,0.096421,0.993000,0.039700,0.063200,31,1.000000
month,2024-08,31,328975,10612.096774,3543.096774,1.091532,0.054008,0.099287,0.054010,0.099273,0.992981,0.042000,0.064200,31,1.000000
month,2024-09,30,342095,11403.166667,3525.400000,1.097080,0.052991,0.097316,0.053077,0.097265,0.992793,0.038500,0.065600,30,1.000000
month,2024-10,31,347534,11210.774194,3641.612903,1.062087,0.051005,0.094498,0.050977,0.094437,0.993152,0.032500,0.068000,31,1.000000
month,2024-11,30,335165,11172.166667,3670.800000,1.053537,0.045001,0.085292,0.044997,0.085187,0.993993,0.036500,0.050200,30,1.000000
month,2024-12,31,349987,11289.903226,3694.709677,1.046771,0.041997,0.079548,0.041997,0.079445,0.994632,0.029600,0.048200,31,1.000000
