month,season,target_monthly_mae,c0_1,c1_P,c2_ln(P),c3_sqrt(P),c4_exp(-P/500),c5_exp(-P/1200),c6_1/(P+50),c7_1/(P+500)
Jan,S1,0.0492,0.57433100,-0.00070910,0.30951660,0.00332540,2.34111400,1.28270800,0.04045800,0.00534440
Feb,S1,0.0524,0.57548300,-0.00071256,0.31003500,0.00309500,2.35167400,1.28808400,0.04103400,0.00545000
Mar,S1,0.0552,0.57682700,-0.00071659,0.31063980,0.00282620,2.36399400,1.29435600,0.04170600,0.00557320
Apr,S1,0.0528,0.57649100,-0.00071558,0.31048860,0.00289340,2.36091400,1.29278800,0.04153800,0.00554240
May,S1,0.0513,0.57668300,-0.00071616,0.31057500,0.00285500,2.36267400,1.29368400,0.04163400,0.00556000
Jun,S2,0.0411,0.59158700,-0.00075200,0.31942400,0.00340600,2.29807400,1.28842500,0.04197600,0.00498300
Jul,S2,0.0649,0.59758700,-0.00077000,0.32212400,0.00220600,2.35307400,1.31642500,0.04497600,0.00553300
Aug,S3,0.0687,0.54767500,-0.00099438,0.30886175,0.01552800,2.14804950,1.22991900,0.01455750,0.00352388
Sep,S3,0.0516,0.54422500,-0.00098403,0.30730925,0.01621800,2.11642450,1.21381900,0.01283250,0.00320762
Oct,S3,0.0431,0.53974000,-0.00097058,0.30529100,0.01711500,2.07531200,1.19288900,0.01059000,0.00279650
Nov,S4,0.0434,0.51693500,-0.00101893,0.29714775,0.02081300,2.09310750,1.18374900,0.00148350,0.00269937
Dec,S4,0.0449,0.52098500,-0.00103108,0.29897025,0.02000300,2.13023250,1.20264900,0.00350850,0.00307063
