pressure,depth,temp_obs,temp_pred
1517.0,1517.0,2.356725,-426.32208
591.0,591.0,3.863625,-164.9122
722.0,722.0,3.4967,-202.10805
1353.0,1353.0,2.534025,-379.78613
1998.0,1998.0,1.9744667,-562.18616
1785.0,1785.0,2.116625,-501.6402
1938.0,1938.0,2.0095334,-545.19336
949.0,949.0,3.079675,-265.73773
171.0,171.0,5.11136,-46.71367
1484.0,1484.0,2.382125,-416.98022
1373.0,1373.0,2.505025,-385.57864
589.0,589.0,3.8,-164.32265
1276.0,1276.0,2.593975,-358.5742
1588.0,1588.0,2.2915,-446.92017
795.0,795.0,3.39455,-222.31407
811.0,811.0,3.34715,-226.69038
1720.0,1720.0,2.161225,-484.04123
1193.0,1193.0,2.7232,-334.73962
1817.0,1817.0,2.11005,-510.8077
1705.0,1705.0,2.1783,-479.88187
1168.0,1168.0,2.73536,-327.82907
2038.0,2038.0,1.9435,-573.84955
669.0,669.0,3.6617,-187.24654
1394.0,1394.0,2.46415,-391.62134
1279.0,1279.0,2.608025,-359.44144
2019.0,2019.0,1.97015,-568.2845
495.0,495.0,3.9873,-137.74995
689.0,689.0,3.60805,-192.76662
1632.0,1632.0,2.2602,-459.24673
1293.0,1293.0,2.57305,-363.37943
2026.0,2026.0,1.954225,-570.34937
230.0,230.0,4.551367,-62.833828
712.0,712.0,3.59274,-199.25195
1596.0,1596.0,2.2776,-449.29807
1338.0,1338.0,2.4873333,-375.61392
1630.0,1630.0,2.2455,-458.73224
187.0,187.0,4.72455,-51.162888
1449.0,1449.0,2.4179332,-407.16827
1426.0,1426.0,2.46355,-400.7548
480.0,480.0,4.0667,-133.91737
957.0,957.0,3.0748,-268.04535
565.0,565.0,3.8429,-157.2698
1511.0,1511.0,2.3551,-424.58688
1075.0,1075.0,2.888725,-301.5223
201.0,201.0,4.61895,-54.866276
566.0,566.0,3.829075,-157.56523
2014.0,2014.0,1.971225,-566.81165
1626.0,1626.0,2.247825,-457.68213
1117.0,1117.0,2.80045,-313.6383
1429.0,1429.0,2.450925,-401.588
709.0,709.0,3.5539,-198.3367
1539.0,1539.0,2.334275,-432.95154
1708.0,1708.0,2.1904,-480.72064
1304.0,1304.0,2.5617,-366.37457
289.0,289.0,4.113867,-79.63985
764.0,764.0,3.458275,-213.93587
1706.0,1706.0,2.19182,-480.16177
546.0,546.0,3.908075,-152.27649
1616.0,1616.0,2.259525,-454.94635
1278.0,1278.0,2.58605,-359.1533
1575.0,1575.0,2.296725,-443.0948
1417.0,1417.0,2.455875,-398.22977
1750.0,1750.0,2.1468666,-492.35815
570.0,570.0,3.871375,-158.73083
673.0,673.0,3.692625,-188.36319
551.0,551.0,3.89735,-153.47792
2057.0,2057.0,1.93106,-579.34106
1437.0,1437.0,2.4373,-403.80798
1561.0,1561.0,2.3105,-439.23715
862.0,862.0,3.2638,-240.87567
244.0,244.0,4.2074,-66.81935
483.0,483.0,4.0458,-134.73592
708.0,708.0,3.555925,-198.03046
897.0,897.0,3.139725,-250.90958
788.0,788.0,3.398725,-220.43216
1902.0,1902.0,2.0417333,-534.5475
514.0,514.0,3.967175,-143.08163
323.0,323.0,4.280175,-88.566605
718.0,718.0,3.55715,-201.00424
710.0,710.0,3.5555,-198.64305
1593.0,1593.0,2.2656,-448.4115
319.0,319.0,4.344625,-87.32496
1521.0,1521.0,2.338125,-427.503
1986.0,1986.0,1.995125,-558.7892
624.0,624.0,3.75195,-174.21501
1627.0,1627.0,2.232225,-457.94754
1311.0,1311.0,2.58835,-368.25848
690.0,690.0,3.5491,-193.02875
613.0,613.0,3.78042,-171.12363
1921.0,1921.0,2.0150666,-540.01483
2055.0,2055.0,1.9544,-578.7649
939.0,939.0,3.122675,-262.85806
203.0,203.0,4.93484,-55.35308
1200.0,1200.0,2.7198,-336.63455
1504.0,1504.0,2.366975,-422.58853
236.0,236.0,4.32625,-64.46488
1547.0,1547.0,2.31605,-435.30502
614.0,614.0,3.77855,-171.3986
1270.0,1270.0,2.61334,-356.814
1157.0,1157.0,2.7898,-325.12894
1275.0,1275.0,2.6107,-358.28314
168.0,168.0,5.0741,-45.96048
414.0,414.0,4.014775,-114.795975
798.0,798.0,3.377225,-223.13054
1189.0,1189.0,2.7321,-333.65518
1899.0,1899.0,2.04525,-533.6892
1324.0,1324.0,2.5433,-371.78928
1758.0,1758.0,2.1528666,-494.43634
1793.0,1793.0,2.112975,-503.94193
1073.0,1073.0,2.9067333,-301.0
324.0,324.0,4.00678,-88.878716
1902.0,1902.0,2.0290334,-534.5475
1897.0,1897.0,2.05955,-533.11554
997.0,997.0,2.9986,-279.63373
336.0,336.0,4.358875,-92.424095
932.0,932.0,3.1324,-260.81943
678.0,678.0,3.5796332,-189.7596
1436.0,1436.0,2.41552,-403.5299
1388.0,1388.0,2.482225,-389.89673
1589.0,1589.0,2.288775,-447.21902
1692.0,1692.0,2.195975,-476.2177
1174.0,1174.0,2.72835,-329.44778
1128.0,1128.0,2.81915,-317.1687
749.0,749.0,3.520275,-209.60144
350.0,350.0,4.2453,-96.50579
1116.0,1116.0,2.7975,-313.31448
2016.0,2016.0,1.9809,-567.39984
1705.0,1705.0,2.1926668,-479.88187
2025.0,2025.0,1.961375,-570.05493
1044.0,1044.0,2.9383,-292.99133
642.0,642.0,3.7304,-179.56218
436.0,436.0,4.07095,-121.47938
1294.0,1294.0,2.5691,-363.65472
590.0,590.0,3.819425,-164.61809
1315.0,1315.0,2.5614667,-369.3378
2038.0,2038.0,1.9424334,-573.84955
481.0,481.0,4.06735,-134.19527
856.0,856.0,3.2821,-239.14407
1351.0,1351.0,2.4904,-379.21622
841.0,841.0,3.3242,-235.0042
706.0,706.0,3.57116,-197.42215
1101.0,1101.0,2.8282666,-308.72778
331.0,331.0,4.003433,-90.97
1812.0,1812.0,2.087425,-509.37433
1840.0,1840.0,2.088375,-517.4293
1785.0,1785.0,2.107825,-501.6402
1461.0,1461.0,2.4104,-410.54642
2051.0,2051.0,1.9557,-577.6087
1175.0,1175.0,2.7669,-329.72757
1012.0,1012.0,2.950725,-283.94235
1368.0,1368.0,2.513875,-384.13083
1848.0,1848.0,2.06925,-519.64453
1985.0,1985.0,1.9918333,-558.50696
437.0,437.0,4.1276,-121.791954
1933.0,1933.0,2.00585,-543.6542
1143.0,1143.0,2.7739,-321.53873
1570.0,1570.0,2.308,-441.68658
270.0,270.0,4.278025,-73.68935
588.0,588.0,3.817,-164.02597
2042.0,2042.0,1.94325,-575.0065
1170.0,1170.0,2.7446,-328.35538
1839.0,1839.0,2.0923667,-517.14844
1266.0,1266.0,2.6198332,-355.62457
1255.0,1255.0,2.610775,-352.33972
1163.0,1163.0,2.77975,-326.57227
1954.0,1954.0,1.9993,-549.9451
1473.0,1473.0,2.3968,-413.90817
954.0,954.0,3.0814333,-267.18344
796.0,796.0,3.432025,-222.58609
1234.0,1234.0,2.67005,-346.25983
479.0,479.0,4.04515,-133.63516
1329.0,1329.0,2.564225,-373.1589
871.0,871.0,3.2291,-243.54454
1886.0,1886.0,2.0492334,-529.9694
1853.0,1853.0,2.0518668,-521.00586
642.0,642.0,3.668,-179.56218
1134.0,1134.0,2.76435,-318.97598
184.0,184.0,4.80984,-50.252567
